,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,george town,20,MY,1603852380,83,5.41,100.34,302.15,2.6
1,ushuaia,40,AR,1603852381,42,-54.8,-68.3,280.15,6.2
2,isiro,100,CD,1603852147,98,2.77,27.62,292.37,0.57
3,hilo,75,US,1603852149,74,19.73,-155.09,300.15,1.5
4,barrow,75,US,1603852296,68,71.29,-156.79,272.15,10.3
5,norman wells,20,CA,1603852382,84,65.28,-126.83,257.15,1.5
6,palabuhanratu,,,,,,,,
7,iqaluit,90,CA,1603852121,73,63.75,-68.51,266.15,3.1
8,punta arenas,0,CL,1603852189,80,-53.15,-70.92,278.15,7.2
9,thompson,75,CA,1603852383,73,55.74,-97.86,266.15,3.6
10,atar,15,MR,1603852383,24,20.52,-13.05,300.27,4.64
11,saint-georges,20,GD,1603852279,88,12.06,-61.75,299.15,3.1
12,port hawkesbury,90,CA,1603852384,80,45.62,-61.35,278.15,3.6
13,caracoli,100,CO,1603852384,95,6.41,-74.76,294.31,1.49
14,cape town,75,ZA,1603852238,87,-33.93,18.42,289.26,4.6
15,san patricio,90,US,1603852360,82,28.02,-97.52,287.15,7.2
16,vaini,75,TO,1603852384,78,-21.2,-175.2,298.15,5.7
17,ribeira grande,100,PT,1603852375,62,38.52,-28.7,290.29,2.58
18,jamestown,90,US,1603852346,100,42.1,-79.24,278.15,2.25
19,sao filipe,87,CV,1603852385,71,14.9,-24.5,300.4,1.73
20,kismayo,83,SO,1603852385,84,-0.36,42.55,299.26,4.44
21,hamilton,83,US,1603852209,90,39.18,-84.53,283.71,0.89
22,ploemeur,75,FR,1603852386,76,47.73,-3.43,286.48,8.7
23,deputatskiy,8,RU,1603852386,93,69.3,139.9,255.28,2.51
24,barentsburg,,,,,,,,
25,chokurdakh,100,RU,1603852386,97,70.63,147.92,262.5,2.41
26,hobart,75,AU,1603852249,76,-42.88,147.33,290.37,5.1
27,rikitea,100,PF,1603852387,84,-23.12,-134.97,297.29,6.66
28,atuona,1,PF,1603852387,73,-9.8,-139.03,299.15,8.67
29,kahului,75,US,1603852198,65,20.89,-156.47,301.15,1.06
30,dicabisagan,79,PH,1603852290,65,17.08,122.42,303.56,1.67
31,bolungarvik,,,,,,,,
32,albany,100,US,1603852102,83,42.6,-73.97,280.37,0.2
33,west bay,20,KY,1603852388,83,19.37,-81.42,301.48,3.1
34,busselton,19,AU,1603852388,48,-33.65,115.33,292.74,2.54
35,taolanaro,,,,,,,,
36,richards bay,5,ZA,1603852282,79,-28.78,32.04,296.19,6.74
37,ugoofaaru,9,MV,1603852389,73,5.67,73,301.37,2.73
38,hermanus,99,ZA,1603852389,91,-34.42,19.23,288.15,4.13
39,bambanglipuro,72,ID,1603852389,68,-7.95,110.28,301.84,4.84
40,banjar,20,ID,1603852389,89,-8.19,114.97,302.15,1.5
41,odweyne,10,SO,1603852390,34,9.41,45.06,291.31,3.15
42,los llanos de aridane,90,ES,1603852390,64,28.66,-17.92,295.15,4.1
43,gamba,100,GA,1603852390,91,-2.65,10,297.49,3.16
44,cabra,0,ES,1603852390,93,37.47,-4.44,282.04,0.5
